,Unnamed: 0,timestamp,left,rigth,depth,height,id,true_height,left_input,right_input,left_rectified,right_rectified,error
3,3,2023-07-25 16:50:18.567774,[0.54541147 0.5280174 ];[0.61879301 0.52289486];[0.58590814 0.59139144];[0.58582437 0.56615722],[0.63619769 0.49592954];[0.70744085 0.48814642];[0.67811549 0.55992389];[0.67832762 0.5344283 ],239.9975322729868,167.91486131606518,3,168.0,input/2023-07-25__16:50:18.567774.2.input.png,input/2023-07-25__16:50:18.567774.0.input.png,rectified/2023-07-25__16:50:18.567774.left.rectified.png,rectified/2023-07-25__16:50:18.567774.right.rectified.png,0.08513868393481516
35,35,2023-07-25 16:50:53.848715,[0.44990858 0.52941149];[0.53308553 0.52595586];[0.49366076 0.61174273];[0.49319145 0.57968903],[0.56301433 0.49658924];[0.64562291 0.49332556];[0.60864934 0.57815397];[0.61012232 0.54834443],190.9087837312996,167.66371661224656,3,168.0,input/2023-07-25__16:50:53.848715.2.input.png,input/2023-07-25__16:50:53.848715.0.input.png,rectified/2023-07-25__16:50:53.848715.left.rectified.png,rectified/2023-07-25__16:50:53.848715.right.rectified.png,0.3362833877534399
0,0,2023-07-25 16:50:15.554372,[0.53315687 0.53135997];[0.64439547 0.52681381];[0.59224421 0.62976149];[0.59145254 0.59024459],[0.69281131 0.49735686];[0.80350989 0.48937359];[0.75709197 0.59417862];[0.75696021 0.5535633 ],134.48289839045927,167.6439371563754,3,168.0,input/2023-07-25__16:50:15.554372.2.input.png,input/2023-07-25__16:50:15.554372.0.input.png,rectified/2023-07-25__16:50:15.554372.left.rectified.png,rectified/2023-07-25__16:50:15.554372.right.rectified.png,0.3560628436246134
34,34,2023-07-25 16:50:52.664278,[0.45633766 0.53114522];[0.55766642 0.52771825];[0.50500819 0.61742109];[0.50248682 0.5799433 ],[0.59015459 0.4986603 ];[0.69077629 0.49403879];[0.64192161 0.58453259];[0.64138329 0.5499537 ],161.0786828253737,167.53844206907075,3,168.0,input/2023-07-25__16:50:52.664278.2.input.png,input/2023-07-25__16:50:52.664278.0.input.png,rectified/2023-07-25__16:50:52.664278.left.rectified.png,rectified/2023-07-25__16:50:52.664278.right.rectified.png,0.4615579309292457
1,1,2023-07-25 16:50:16.562511,[0.5227595  0.53408641];[0.63252026 0.5280928 ];[0.58193123 0.63207498];[0.58054012 0.59362322],[0.68087977 0.49980283];[0.7878688  0.49097401];[0.74278185 0.5968222 ];[0.7443276  0.55765235],137.09526266681203,167.46362859260987,3,168.0,input/2023-07-25__16:50:16.562511.2.input.png,input/2023-07-25__16:50:16.562511.0.input.png,rectified/2023-07-25__16:50:16.562511.left.rectified.png,rectified/2023-07-25__16:50:16.562511.right.rectified.png,0.5363714073901349
58,58,2023-07-25 16:51:21.006472,[0.43066198 0.52087283];[0.53430992 0.51112902];[0.48673762 0.60416064];[0.48227534 0.56793249],[0.56981629 0.4868246 ];[0.67213655 0.47766283];[0.63030982 0.57067114];[0.62862039 0.53477579],153.8921765953302,168.8643203703371,3,168.0,input/2023-07-25__16:51:21.006472.2.input.png,input/2023-07-25__16:51:21.006472.0.input.png,rectified/2023-07-25__16:51:21.006472.left.rectified.png,rectified/2023-07-25__16:51:21.006472.right.rectified.png,0.8643203703371114
33,33,2023-07-25 16:50:51.472177,[0.47510859 0.51468658];[0.59146655 0.50766194];[0.53693035 0.62172231];[0.53629166 0.57894051],[0.64244902 0.47955844];[0.75717366 0.47186366];[0.71078327 0.58637446];[0.71109354 0.5436334 ],128.3418200112982,169.11202253869493,3,168.0,input/2023-07-25__16:50:51.472177.2.input.png,input/2023-07-25__16:50:51.472177.0.input.png,rectified/2023-07-25__16:50:51.472177.left.rectified.png,rectified/2023-07-25__16:50:51.472177.right.rectified.png,1.11202253869493
22,22,2023-07-25 16:50:38.261030,[0.60740554 0.51424485];[0.69692898 0.51076877];[0.65642348 0.59081948];[0.65542233 0.55745047],[0.73130965 0.48163837];[0.82006651 0.47548187];[0.78274605 0.55892235];[0.78353012 0.52790076],173.96521613951663,169.36093074628215,3,168.0,input/2023-07-25__16:50:38.261030.2.input.png,input/2023-07-25__16:50:38.261030.0.input.png,rectified/2023-07-25__16:50:38.261030.left.rectified.png,rectified/2023-07-25__16:50:38.261030.right.rectified.png,1.3609307462821505
15,15,2023-07-25 16:50:30.765457,[0.33043864 0.51189381];[0.41696683 0.51495183];[0.37075107 0.59300715];[0.36937591 0.56191355],[0.44354448 0.47902018];[0.52889043 0.48237127];[0.48663944 0.56041339];[0.487753   0.53092784],190.2196320125488,169.37805182796845,3,168.0,input/2023-07-25__16:50:30.765457.2.input.png,input/2023-07-25__16:50:30.765457.0.input.png,rectified/2023-07-25__16:50:30.765457.left.rectified.png,rectified/2023-07-25__16:50:30.765457.right.rectified.png,1.3780518279684486
32,32,2023-07-25 16:50:50.295974,[0.2979759  0.50723255];[0.40444368 0.50537986];[0.34963396 0.60237235];[0.34681934 0.56341189],[0.44568607 0.47526395];[0.5495733  0.47232378];[0.50173157 0.56971943];[0.50107938 0.53146547],145.96283695265845,169.71343076585975,3,168.0,input/2023-07-25__16:50:50.295974.2.input.png,input/2023-07-25__16:50:50.295974.0.input.png,rectified/2023-07-25__16:50:50.295974.left.rectified.png,rectified/2023-07-25__16:50:50.295974.right.rectified.png,1.713430765859755
