,timestamp,GT_depth,CAL_height,person_id,GT_height,unreg_img_left,unreg_img_right,reg_img_left,reg_img_right,error,left_1,left_2,left_3,left_4,right_1,right_2,right_3,right_4
178,2023-07-25 16:47:28.244343,66.60728199745975,163.43926490972578,9,163.0,unregistered/uil__2023-07-25__16:47:28.244343.png,unregistered/uir__2023-07-25__16:47:28.244343.png,registered/ril__2023-07-25__16:47:28.244343.png,registered/rir__2023-07-25__16:47:28.244343.png,0.4392649097257788,0.14709319 0.62738132,0.35352182 0.63925576,0.2371951 0.83428425,0.23882394 0.76300871,0.47537369 0.59136367,0.66791075 0.60172141,0.57335865 0.79738727,0.58032155 0.72985041
176,2023-07-25 16:47:24.592694,64.5919400800366,163.58626876734485,9,163.0,unregistered/uil__2023-07-25__16:47:24.592694.png,unregistered/uir__2023-07-25__16:47:24.592694.png,registered/ril__2023-07-25__16:47:24.592694.png,registered/rir__2023-07-25__16:47:24.592694.png,0.5862687673448477,0.12775147 0.63234144,0.33774704 0.63385391,0.21964315 0.84335041,0.21656135 0.77064931,0.46293485 0.59562314,0.66626787 0.59705377,0.56598392 0.8076624,0.56811541 0.73635268
166,2023-07-25 16:47:10.130708,67.48583952574329,162.37290103035656,9,163.0,unregistered/uil__2023-07-25__16:47:10.130708.png,unregistered/uir__2023-07-25__16:47:10.130708.png,registered/ril__2023-07-25__16:47:10.130708.png,registered/rir__2023-07-25__16:47:10.130708.png,0.6270989696434413,0.13164182 0.65479809,0.33134469 0.65905809,0.22498056 0.85326687,0.22716939 0.78967977,0.45560101 0.6191566,0.644835 0.62314212,0.55711108 0.81708628,0.5625636 0.75802863
165,2023-07-25 16:47:08.905572,65.22050593641454,163.655980868157,9,163.0,unregistered/uil__2023-07-25__16:47:08.905572.png,unregistered/uir__2023-07-25__16:47:08.905572.png,registered/ril__2023-07-25__16:47:08.905572.png,registered/rir__2023-07-25__16:47:08.905572.png,0.6559808681570019,0.24016961 0.63507694,0.44354278 0.62564772,0.33971952 0.83749324,0.33597231 0.76436728,0.57200545 0.59892869,0.76834786 0.58837324,0.6814791 0.79920784,0.68569654 0.72877479
177,2023-07-25 16:47:25.835780,63.956886765620666,163.6687013309065,9,163.0,unregistered/uil__2023-07-25__16:47:25.835780.png,unregistered/uir__2023-07-25__16:47:25.835780.png,registered/ril__2023-07-25__16:47:25.835780.png,registered/rir__2023-07-25__16:47:25.835780.png,0.6687013309064866,0.11800101 0.63163066,0.32919711 0.63263166,0.21217976 0.8444697,0.20937723 0.76984745,0.45769277 0.59540302,0.66188967 0.59641296,0.56145617 0.80855903,0.56509721 0.73621166
162,2023-07-25 16:47:04.059711,88.6091580532782,163.8713788602334,9,163.0,unregistered/uil__2023-07-25__16:47:04.059711.png,unregistered/uir__2023-07-25__16:47:04.059711.png,registered/ril__2023-07-25__16:47:04.059711.png,registered/rir__2023-07-25__16:47:04.059711.png,0.8713788602333921,0.16437766 0.59630144,0.32311475 0.60104758,0.23652882 0.75421238,0.23595837 0.70222312,0.40899044 0.56014282,0.56209016 0.56449693,0.48667765 0.71831372,0.49158102 0.66799718
175,2023-07-25 16:47:23.370727,64.29460297913586,163.92342615098997,9,163.0,unregistered/uil__2023-07-25__16:47:23.370727.png,unregistered/uir__2023-07-25__16:47:23.370727.png,registered/ril__2023-07-25__16:47:23.370727.png,registered/rir__2023-07-25__16:47:23.370727.png,0.9234261509899682,0.14260614 0.62262022,0.35272592 0.62796855,0.23300758 0.83565786,0.23010419 0.76114523,0.47979409 0.58646882,0.68081915 0.58978099,0.57953134 0.79804853,0.58432853 0.72845435
164,2023-07-25 16:47:07.690610,65.54844983039133,163.92811718712127,9,163.0,unregistered/uil__2023-07-25__16:47:07.690610.png,unregistered/uir__2023-07-25__16:47:07.690610.png,registered/ril__2023-07-25__16:47:07.690610.png,registered/rir__2023-07-25__16:47:07.690610.png,0.9281171871212734,0.24745876 0.62652755,0.45053065 0.61999357,0.34539796 0.83284068,0.34195608 0.75766063,0.57706451 0.5904994,0.77282894 0.58218378,0.68511131 0.79329839,0.69005239 0.72398031
163,2023-07-25 16:47:06.474283,67.90145271028446,164.01815938264295,9,163.0,unregistered/uil__2023-07-25__16:47:06.474283.png,unregistered/uir__2023-07-25__16:47:06.474283.png,registered/ril__2023-07-25__16:47:06.474283.png,registered/rir__2023-07-25__16:47:06.474283.png,1.0181593826429491,0.22463503 0.61941403,0.42262906 0.61609006,0.31468031 0.81847778,0.31240544 0.74535149,0.54418421 0.58303893,0.73502845 0.58024329,0.64377877 0.77929193,0.64596838 0.71348298
161,2023-07-25 16:47:02.915029,94.45466524977398,164.0456808829573,9,163.0,unregistered/uil__2023-07-25__16:47:02.915029.png,unregistered/uir__2023-07-25__16:47:02.915029.png,registered/ril__2023-07-25__16:47:02.915029.png,registered/rir__2023-07-25__16:47:02.915029.png,1.0456808829572992,0.28209698 0.59134173,0.42886391 0.59103107,0.35111327 0.73671672,0.35012436 0.68795121,0.51130152 0.55643922,0.65564561 0.55779582,0.58577663 0.70313853,0.58843154 0.65732872
